index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
1248	located_on_h3_cell	https://www.openstreetmap.org/way/395358837	osmplace	891f1a2c23bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1249	hasOSMTag	891e349350bffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1250	hasOSMTag	891f1a2c207ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1251	hasOSMTag	891f1a2ab1bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1252	hasOSMTag	891e3490babffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1253	hasOSMTag	891e349236fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
1254	located_on_h3_cell	891e34901bbffff	h3place	https://www.openstreetmap.org/way/317534494	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1255	hasOSMTag	891e34923bbffff	h3place	fast_food	osmtag	False		Lifestyle_NEG_shop around (Chemnitz) radius=15.0	1.0
1256	located_on_h3_cell	https://www.openstreetmap.org/way/426553885	osmplace	891e3497217ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1257	located_on_h3_cell	https://www.openstreetmap.org/way/505376387	osmplace	891e34974a7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1258	located_on_h3_cell	891e349214bffff	h3place	https://www.openstreetmap.org/way/269570416	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1259	located_on_h3_cell	https://www.openstreetmap.org/way/257575880	osmplace	891e349052fffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1260	located_on_h3_cell	https://www.openstreetmap.org/way/307006065	osmplace	891e3490407ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1261	located_on_h3_cell	891f1a2dabbffff	h3place	https://www.openstreetmap.org/way/27615069	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1262	hasOSMTag	891f1a28b47ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1263	located_on_h3_cell	891e3490407ffff	h3place	https://www.openstreetmap.org/way/240037127	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1264	located_on_h3_cell	https://www.openstreetmap.org/way/414225102	osmplace	891f1a2d02fffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1265	located_on_h3_cell	https://www.openstreetmap.org/way/212101238	osmplace	891e34900dbffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1266	located_on_h3_cell	891e3482437ffff	h3place	https://www.openstreetmap.org/way/277999420	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1267	hasOSMTag	891f1a28b7bffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1268	located_on_h3_cell	https://www.openstreetmap.org/way/288063543	osmplace	891e34904b3ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1269	hasOSMTag	primary	osmtag	891e34923b7ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	6.0
1270	located_on_h3_cell	https://www.openstreetmap.org/way/263989042	osmplace	891e3490403ffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1271	located_on_h3_cell	891e3492e4fffff	h3place	https://www.openstreetmap.org/way/198034687	osmplace	False	6.0	Lifestyle_NEG_shop around (Chemnitz) radius=15.0	
1272	hasOSMTag	891e34901bbffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	4.0
1273	located_on_h3_cell	891e34926abffff	h3place	https://www.openstreetmap.org/way/665912878	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1274	located_on_h3_cell	https://www.openstreetmap.org/way/263388951	osmplace	891f1a2dc9bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1275	hasOSMTag	primary	osmtag	891e349049bffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	5.0
1276	hasOSMTag	industrial	osmtag	891e3493117ffff	h3place	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1277	hasOSMTag	primary	osmtag	891f1a2a853ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
1278	located_on_h3_cell	https://www.openstreetmap.org/way/321579421	osmplace	891f1a2c297ffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1279	located_on_h3_cell	https://www.openstreetmap.org/way/305408250	osmplace	891e3492687ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1280	hasOSMTag	891f1a2db0fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1281	located_on_h3_cell	891e349234bffff	h3place	https://www.openstreetmap.org/way/414934563	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1282	located_on_h3_cell	891f1a2a937ffff	h3place	https://www.openstreetmap.org/way/264766110	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1283	located_on_h3_cell	891e3490a87ffff	h3place	https://www.openstreetmap.org/way/247079709	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1284	hasOSMTag	891f1a2d1bbffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1285	located_on_h3_cell	891e349004fffff	h3place	https://www.openstreetmap.org/way/234017696	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1286	located_on_h3_cell	891e349256bffff	h3place	https://www.openstreetmap.org/way/601033592	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1287	hasOSMTag	891f1a2a86fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1288	hasOSMTag	891f1a28837ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1289	located_on_h3_cell	891f1a2c293ffff	h3place	https://www.openstreetmap.org/way/321582748	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1290	hasOSMTag	industrial	osmtag	891f1a29023ffff	h3place	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1291	located_on_h3_cell	891e3492307ffff	h3place	https://www.openstreetmap.org/way/682771206	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1292	located_on_h3_cell	891e3490407ffff	h3place	https://www.openstreetmap.org/way/307006065	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1293	located_on_h3_cell	891e34931a7ffff	h3place	https://www.openstreetmap.org/way/256345447	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1294	hasOSMTag	primary	osmtag	891f1a288afffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1295	located_on_h3_cell	https://www.openstreetmap.org/way/362392626	osmplace	891f1a2c2a7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1296	hasOSMTag	891e3492153ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1297	located_on_h3_cell	891e349664bffff	h3place	https://www.openstreetmap.org/way/72453076	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1298	located_on_h3_cell	891e3490053ffff	h3place	https://www.openstreetmap.org/way/257574112	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1299	located_on_h3_cell	https://www.openstreetmap.org/way/724556490	osmplace	891f1a2c2abffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1300	located_on_h3_cell	https://www.openstreetmap.org/way/211917349	osmplace	891e3490197ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1301	located_on_h3_cell	https://www.openstreetmap.org/way/708137349	osmplace	891e34926afffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1302	located_on_h3_cell	https://www.openstreetmap.org/way/361274554	osmplace	891f1a2d277ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1303	located_on_h3_cell	https://www.openstreetmap.org/way/334610408	osmplace	891e34925cbffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1304	located_on_h3_cell	891e349217bffff	h3place	https://www.openstreetmap.org/way/256028546	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1305	hasOSMTag	891f1a2c267ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1306	hasOSMTag	891e3492aabffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
1307	located_on_h3_cell	https://www.openstreetmap.org/way/223146802	osmplace	891e3491913ffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1308	located_on_h3_cell	https://www.openstreetmap.org/way/362392629	osmplace	891f1a2c207ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1309	located_on_h3_cell	891e349353bffff	h3place	https://www.openstreetmap.org/way/487352185	osmplace	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1310	hasOSMTag	891e3492a57ffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1311	hasOSMTag	891f1a2d3c3ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1312	hasOSMTag	891e349226fffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1313	located_on_h3_cell	https://www.openstreetmap.org/way/368749555	osmplace	891e34923b7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1314	hasOSMTag	trunk	osmtag	891e3490123ffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1315	located_on_h3_cell	891e349234bffff	h3place	https://www.openstreetmap.org/way/291248985	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1316	located_on_h3_cell	https://www.openstreetmap.org/way/929170519	osmplace	891e34921b7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1317	hasOSMTag	primary	osmtag	891f1a2db0bffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1318	located_on_h3_cell	https://www.openstreetmap.org/way/487492560	osmplace	891e349350bffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1319	located_on_h3_cell	891f1a2dc9bffff	h3place	https://www.openstreetmap.org/way/724442721	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1320	located_on_h3_cell	https://www.openstreetmap.org/way/264689904	osmplace	891f1a2abc7ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1321	located_on_h3_cell	https://www.openstreetmap.org/way/268619174	osmplace	891e349230bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1322	located_on_h3_cell	https://www.openstreetmap.org/way/390404127	osmplace	891e3482483ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1323	located_on_h3_cell	https://www.openstreetmap.org/way/758921615	osmplace	891e3492637ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1324	hasOSMTag	industrial	osmtag	891f1a2c067ffff	h3place	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1325	hasOSMTag	891e3492ccfffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1326	located_on_h3_cell	https://www.openstreetmap.org/way/427956922	osmplace	891e349236bffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1327	hasOSMTag	891e3482413ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1328	located_on_h3_cell	891e3492043ffff	h3place	https://www.openstreetmap.org/way/224856338	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1329	located_on_h3_cell	891e3492043ffff	h3place	https://www.openstreetmap.org/way/289982688	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1330	located_on_h3_cell	https://www.openstreetmap.org/way/247079709	osmplace	891e3490a87ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1331	hasOSMTag	891f1a28d4bffff	h3place	industrial	osmtag	False		Environment_NEG_geological around (Chemnitz) radius=15.0	1.0
1332	located_on_h3_cell	891e34901bbffff	h3place	https://www.openstreetmap.org/way/437747132	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1333	hasOSMTag	891e34926afffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	5.0
1334	located_on_h3_cell	https://www.openstreetmap.org/way/257575424	osmplace	891e3490193ffff	h3place	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1335	hasOSMTag	891f1a2dac3ffff	h3place	primary	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	3.0
1336	hasOSMTag	primary	osmtag	891e34901dbffff	h3place	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	2.0
1337	located_on_h3_cell	891e34974b7ffff	h3place	https://www.openstreetmap.org/way/505376423	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1338	hasOSMTag	891e3490e37ffff	h3place	trunk	osmtag	False		Transport_NEG_aeroway around (Chemnitz) radius=15.0	1.0
1339	located_on_h3_cell	891e34926afffff	h3place	https://www.openstreetmap.org/way/305408258	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
1340	located_on_h3_cell	https://www.openstreetmap.org/way/931997371	osmplace	891f1a282afffff	h3place	False	6.0	Environment_NEG_geological around (Chemnitz) radius=15.0	
1341	located_on_h3_cell	891e349236fffff	h3place	https://www.openstreetmap.org/way/258909091	osmplace	False	6.0	Transport_NEG_aeroway around (Chemnitz) radius=15.0	
