index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
780	hasOSMTag	891f03868d7ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
781	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242406855	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
782	hasOSMTag	golf	osmtag	891f03b2a73ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
783	hasOSMTag	kindergarten	osmtag	891f0386397ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
784	hasOSMTag	891f038682bffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
785	hasOSMTag	891f03868d7ffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
786	hasOSMTag	pitch	osmtag	891f03b2a0bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	4.0
787	located_on_h3_cell	https://www.openstreetmap.org/way/242403104	osmplace	891f038680fffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
788	hasOSMTag	pitch	osmtag	891f03b36abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
789	hasOSMTag	joiner	osmtag	891f0387637ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
790	located_on_h3_cell	https://www.openstreetmap.org/way/484692623	osmplace	891f0386a63ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
791	hasOSMTag	891f0386ea7ffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
792	located_on_h3_cell	891f0386337ffff	h3place	https://www.openstreetmap.org/way/38903222	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
793	hasOSMTag	school	osmtag	891f03b8413ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
794	hasOSMTag	childcare	osmtag	891f0384907ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
795	located_on_h3_cell	https://www.openstreetmap.org/way/457746171	osmplace	891f03b001bffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
796	located_on_h3_cell	https://www.openstreetmap.org/relation/9911148	osmplace	891f014b1dbffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
797	hasOSMTag	891f014901bffff	h3place	place_of_worship	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
798	hasOSMTag	891f038639bffff	h3place	running	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
799	located_on_h3_cell	891f038616bffff	h3place	https://www.openstreetmap.org/node/2002311508	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
800	hasOSMTag	playground	osmtag	891f03b0cc7ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
801	located_on_h3_cell	891f014b22fffff	h3place	https://www.openstreetmap.org/way/449088200	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
802	located_on_h3_cell	891f0387063ffff	h3place	https://www.openstreetmap.org/node/8688193116	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
803	located_on_h3_cell	https://www.openstreetmap.org/node/1994142264	osmplace	891f0386383ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Stralsund) radius=15.0	
804	hasOSMTag	basketball	osmtag	891f03b36abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
805	hasOSMTag	place_of_worship	osmtag	891f03b268bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
806	located_on_h3_cell	891f03b8407ffff	h3place	https://www.openstreetmap.org/way/262099536	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
807	located_on_h3_cell	891f0386873ffff	h3place	https://www.openstreetmap.org/way/694207225	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
808	hasOSMTag	891f03868abffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	2.0
809	hasOSMTag	place_of_worship	osmtag	891f03b2277ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
810	located_on_h3_cell	891f0386393ffff	h3place	https://www.openstreetmap.org/way/38903175	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
811	hasOSMTag	891f03b2a7bffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
812	located_on_h3_cell	891f014901bffff	h3place	https://www.openstreetmap.org/way/484692626	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
813	hasOSMTag	school	osmtag	891f038617bffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
814	hasOSMTag	891f0386873ffff	h3place	garden	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
815	hasOSMTag	891f0386337ffff	h3place	kindergarten	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
816	located_on_h3_cell	891f03baba7ffff	h3place	https://www.openstreetmap.org/way/378164882	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
817	hasOSMTag	891f0384907ffff	h3place	childcare	osmtag	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
818	located_on_h3_cell	https://www.openstreetmap.org/way/242147343	osmplace	891f03868bbffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
819	hasOSMTag	891f014d293ffff	h3place	playground	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
820	located_on_h3_cell	https://www.openstreetmap.org/relation/12665051	osmplace	891f03b28c3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
