index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
903	located_on_h3_cell	https://www.openstreetmap.org/way/357119505	osmplace	891f02b1a27ffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
904	hasOSMTag	891f02b124bffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Wismar) radius=15.0	1.0
905	located_on_h3_cell	https://www.openstreetmap.org/way/881148329	osmplace	891f02b3567ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
906	located_on_h3_cell	891f02ba4afffff	h3place	https://www.openstreetmap.org/relation/11971056	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
907	located_on_h3_cell	https://www.openstreetmap.org/relation/11979327	osmplace	891f02bac77ffff	h3place	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
908	located_on_h3_cell	https://www.openstreetmap.org/way/221260681	osmplace	891f02bb433ffff	h3place	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
909	located_on_h3_cell	891f02aa0c3ffff	h3place	https://www.openstreetmap.org/way/958495443	osmplace	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
910	located_on_h3_cell	891f02bacc7ffff	h3place	https://www.openstreetmap.org/way/880090083	osmplace	False	6.0	Transport_POS_amenity around (Wismar) radius=15.0	
911	located_on_h3_cell	891f0284837ffff	h3place	https://www.openstreetmap.org/way/338308808	osmplace	False	6.0	Lifestyle_POS_amenity around (Wismar) radius=15.0	
912	located_on_h3_cell	https://www.openstreetmap.org/node/8879371773	osmplace	891f02b8ccfffff	h3place	False	6.0	Leisure_POS_amenity around (Wismar) radius=15.0	
