index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
192	located_on_h3_cell	https://www.openstreetmap.org/way/263481388	osmplace	891f02b85afffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
193	located_on_h3_cell	89754e64993ffff	h3place	-	osmplace	False		6.0	Services_NEG_amenity around (Wismar) radius=15.0
194	located_on_h3_cell	891f02b8da3ffff	h3place	https://www.openstreetmap.org/way/354001459	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
195	located_on_h3_cell	891f02a3127ffff	h3place	https://www.openstreetmap.org/way/322857244	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
196	located_on_h3_cell	891f02a3517ffff	h3place	https://www.openstreetmap.org/way/346528636	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
197	located_on_h3_cell	891f02ba5cfffff	h3place	https://www.openstreetmap.org/way/315967088	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
198	hasOSMTag	891f02b1e8bffff	h3place	hangar	osmtag	False	5.0		Transport_NEG_aeroway around (Wismar) radius=15.0
199	hasOSMTag	891f02a111bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
200	located_on_h3_cell	891f02b8297ffff	h3place	https://www.openstreetmap.org/way/882173334	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
201	hasOSMTag	891f02b0887ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
202	located_on_h3_cell	891f02bb513ffff	h3place	https://www.openstreetmap.org/way/877683729	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
203	located_on_h3_cell	891f02b9073ffff	h3place	https://www.openstreetmap.org/way/882173339	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
204	hasOSMTag	891f02a1017ffff	h3place	quarry	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
205	located_on_h3_cell	https://www.openstreetmap.org/way/322857244	osmplace	891f02a3127ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
206	located_on_h3_cell	https://www.openstreetmap.org/way/229784801	osmplace	891f02a01dbffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
207	located_on_h3_cell	891f02b058bffff	h3place	https://www.openstreetmap.org/way/365539353	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
208	located_on_h3_cell	891f02a1017ffff	h3place	https://www.openstreetmap.org/way/350785425	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
209	hasOSMTag	trunk	osmtag	891f02ba10fffff	h3place	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
210	located_on_h3_cell	https://www.openstreetmap.org/way/547465954	osmplace	891f02b1e8bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
211	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/383577887	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
212	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/547465955	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
213	located_on_h3_cell	891f02bb5cfffff	h3place	https://www.openstreetmap.org/way/877683730	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
214	located_on_h3_cell	https://www.openstreetmap.org/way/351150124	osmplace	891f02a1047ffff	h3place	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
215	located_on_h3_cell	https://www.openstreetmap.org/way/410338558	osmplace	891f02ba10bffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
216	located_on_h3_cell	891f02a308fffff	h3place	https://www.openstreetmap.org/way/354603427	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
217	located_on_h3_cell	https://www.openstreetmap.org/way/321539688	osmplace	891f02bb5cfffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
218	located_on_h3_cell	891f02a101bffff	h3place	https://www.openstreetmap.org/way/350785441	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
219	hasOSMTag	891f02b9a6bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Wismar) radius=15.0
220	located_on_h3_cell	https://www.openstreetmap.org/way/410338559	osmplace	891f02ba573ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
221	hasOSMTag	891f02ba553ffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Wismar) radius=15.0
222	located_on_h3_cell	https://www.openstreetmap.org/way/381739010	osmplace	891f02bae63ffff	h3place	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
223	hasOSMTag	primary	osmtag	891f02ba5cbffff	h3place	False	2.0		Transport_NEG_aeroway around (Wismar) radius=15.0
224	located_on_h3_cell	891f02b1107ffff	h3place	https://www.openstreetmap.org/way/383596324	osmplace	False		6.0	Environment_NEG_geological around (Wismar) radius=15.0
225	located_on_h3_cell	891f02a1c03ffff	h3place	https://www.openstreetmap.org/way/498807223	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
226	located_on_h3_cell	891f02b1e8bffff	h3place	https://www.openstreetmap.org/way/547465954	osmplace	False		6.0	Transport_NEG_aeroway around (Wismar) radius=15.0
