	0	1
596	891f1a75b67ffff	6
597	891f1a2d553ffff	0
598	891e3490027ffff	2
599	891f1a62647ffff	3
600	891e34d74b3ffff	4
601	891e3490603ffff	2
602	891e34d5aabffff	7
603	891f1a6c59bffff	1
604	891e34936c3ffff	7
605	891f1a75283ffff	2
606	891e34901abffff	5
607	891f1a6f083ffff	5
608	891f02b8297ffff	2
609	891f1a2a9abffff	2
610	891f1a610c7ffff	3
611	891f1a29ed3ffff	2
612	891e3492377ffff	4
613	891f1a2d383ffff	2
614	891f1a62907ffff	3
615	891e349256bffff	0
616	891f1a61d03ffff	5
617	891f1a6f1d3ffff	7
618	891f1a288afffff	7
619	891e34902cbffff	4
620	891e3490cd7ffff	2
621	891e3491c93ffff	4
622	891f1a6cd0fffff	4
623	891e349506bffff	4
624	891f1a75217ffff	2
625	891f02bacbbffff	2
626	891f1a68e8fffff	2
627	891f1a61467ffff	4
628	891f1a29e5bffff	5
629	891e34924cfffff	2
630	891e34d6a77ffff	2
631	891f1a2937bffff	3
632	891f1a6ad37ffff	0
633	891f02b8533ffff	2
634	891e34d662fffff	2
635	891e349738fffff	2
636	891f1a6190fffff	1
637	891e3493063ffff	4
638	891e3490667ffff	4
639	891e3492397ffff	3
640	891f0284c0fffff	3
641	891f1a6350fffff	3
642	891f1a60a53ffff	4
643	891e34d4c9bffff	1
644	891e3494647ffff	2
645	891e3491a13ffff	0
646	891e34901bbffff	0
647	891e349ad0fffff	4
648	891f1a6510bffff	5
649	891e349ada7ffff	2
650	891f1a68517ffff	2
651	891e3495553ffff	2
652	891f1a28103ffff	2
653	891e3492ac7ffff	2
654	891f1a68183ffff	2
655	891f1a68bcbffff	2
656	891f1a2d25bffff	6
657	891f1a2d543ffff	7
658	891f1a2dad7ffff	2
659	891e349046bffff	1
660	891e34990dbffff	0
661	891f1a280a3ffff	2
662	891e3492553ffff	2
663	891e3492b0bffff	2
664	891e3491c9bffff	0
665	891e34904d3ffff	0
666	891e34d460fffff	7
667	891f1a6353bffff	4
668	891f02b9d97ffff	4
669	891e349348bffff	1
670	891e3492ec7ffff	4
671	891f1a659a3ffff	3
672	891f1a2c297ffff	4
673	891f1a2dcd7ffff	2
674	891f1a6e24bffff	2
675	ice_cream	3
676	891e3492a17ffff	2
677	891f1a61d57ffff	5
678	891f1a6f56bffff	5
679	891f1a2c393ffff	2
680	891f1a28553ffff	2
681	891f1a6d973ffff	3
682	891f1a68d33ffff	4
683	891f02a349bffff	1
684	891f1a28a47ffff	2
685	891f1a29d0fffff	2
686	carpenter	4
687	891e34d489bffff	1
688	891e349666bffff	2
689	891e34d65a7ffff	3
690	891e3490453ffff	5
691	891f1a2f417ffff	2
692	891e34904b3ffff	0
693	891e3499ccbffff	4
694	891f1a6f55bffff	4
695	891e349b5abffff	0
696	891f1a2f403ffff	2
697	891e34d4d27ffff	1
698	891f1a66b8fffff	7
699	891e349840fffff	7
700	891f1a6f413ffff	4
701	891f1a2c277ffff	2
702	891e3492693ffff	6
703	891e34974abffff	2
704	891f1a66c43ffff	7
705	891f1a2990fffff	2
706	891f1a2d413ffff	1
707	891e3491867ffff	4
708	891f1a619a7ffff	4
709	891f1a61a3bffff	2
710	891e349202fffff	2
711	891e3497313ffff	3
