index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
650	hasOSMTag	soccer	osmtag	891e349a89bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
651	hasOSMTag	soccer	osmtag	891f1a6520fffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
652	hasOSMTag	soccer	osmtag	891e34d69d3ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
653	hasOSMTag	soccer	osmtag	891e34d6087ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
654	hasOSMTag	891f1a6d96fffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
655	hasOSMTag	soccer	osmtag	891f1a6497bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
656	hasOSMTag	soccer	osmtag	891f1a645a3ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
657	hasOSMTag	soccer	osmtag	891e34d69dbffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
658	hasOSMTag	soccer	osmtag	891f1a65b83ffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
659	hasOSMTag	multi	osmtag	891e349a29bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
660	located_on_h3_cell	891f1a65653ffff	h3place	https://www.openstreetmap.org/way/551142073	osmplace	False	6.0	Leisure_POS_amenity around (Stollberg) radius=15.0	
661	hasOSMTag	891f1a66aa7ffff	h3place	equestrian	osmtag	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
662	located_on_h3_cell	https://www.openstreetmap.org/relation/9575732	osmplace	891e3499137ffff	h3place	False	6.0	Transport_POS_amenity around (Stollberg) radius=15.0	
663	hasOSMTag	soccer	osmtag	891f1a6598bffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
664	hasOSMTag	soccer	osmtag	891f1a659bbffff	h3place	False		Leisure_POS_amenity around (Stollberg) radius=15.0	1.0
