index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
138	located_on_h3_cell	https://www.openstreetmap.org/way/404381781	osmplace	891e349a46fffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
139	hasOSMTag	891e349ad5bffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
140	located_on_h3_cell	https://www.openstreetmap.org/way/357427296	osmplace	891f1a6d9b3ffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
141	located_on_h3_cell	https://www.openstreetmap.org/way/315225738	osmplace	891e349b5afffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
142	hasOSMTag	891f1a6cd37ffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
143	located_on_h3_cell	https://www.openstreetmap.org/way/359528969	osmplace	891f1a65533ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
144	located_on_h3_cell	891e349332bffff	h3place	https://www.openstreetmap.org/way/264350174	osmplace	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
145	located_on_h3_cell	891e349b363ffff	h3place	https://www.openstreetmap.org/way/48526100	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
146	hasOSMTag	industrial	osmtag	891e3490237ffff	h3place	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
147	located_on_h3_cell	891e349a46fffff	h3place	https://www.openstreetmap.org/way/314494959	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
148	located_on_h3_cell	891e3491c9bffff	h3place	https://www.openstreetmap.org/way/219694830	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
149	hasOSMTag	891f1a64dcbffff	h3place	primary	osmtag	False	1.0		Transport_NEG_aeroway around (Stollberg) radius=15.0
150	located_on_h3_cell	https://www.openstreetmap.org/relation/2815542	osmplace	891e3498533ffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
151	located_on_h3_cell	891e349a6d7ffff	h3place	https://www.openstreetmap.org/way/483064919	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
152	located_on_h3_cell	https://www.openstreetmap.org/way/351676303	osmplace	891e349b33bffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
153	located_on_h3_cell	https://www.openstreetmap.org/way/302730075	osmplace	891e349a207ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
154	hasOSMTag	891e349340bffff	h3place	industrial	osmtag	False	1.0		Environment_NEG_geological around (Stollberg) radius=15.0
155	located_on_h3_cell	https://www.openstreetmap.org/way/655170293	osmplace	891f1a6544bffff	h3place	False		6.0	Environment_NEG_geological around (Stollberg) radius=15.0
156	located_on_h3_cell	https://www.openstreetmap.org/way/234014153	osmplace	891e349b537ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
157	located_on_h3_cell	https://www.openstreetmap.org/way/27022336	osmplace	891f1a64023ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
158	located_on_h3_cell	https://www.openstreetmap.org/way/524208228	osmplace	891e349a207ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
159	located_on_h3_cell	891e3490653ffff	h3place	https://www.openstreetmap.org/way/212101253	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
160	located_on_h3_cell	https://www.openstreetmap.org/way/234008165	osmplace	891e34998c7ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
161	located_on_h3_cell	https://www.openstreetmap.org/way/214635588	osmplace	891f1a65917ffff	h3place	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
162	located_on_h3_cell	891e34990cbffff	h3place	https://www.openstreetmap.org/way/730037039	osmplace	False		6.0	Transport_NEG_aeroway around (Stollberg) radius=15.0
