index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
901	https://www.openstreetmap.org/relation/10254712	osmplace				12.75803	50.70058				
902	https://www.openstreetmap.org/relation/8277185	osmplace				12.61979	50.65012				
903	https://www.openstreetmap.org/way/786108622	osmplace				12.77467	50.70964				
904	https://www.openstreetmap.org/relation/10062942	osmplace				12.66391	50.676				
905	https://www.openstreetmap.org/node/8060572316	osmplace				12.67717	50.59582				
906	https://www.openstreetmap.org/relation/8277196	osmplace				12.82186	50.64622				
907	https://www.openstreetmap.org/node/6407462189	osmplace				12.63734	50.60553				
908	https://www.openstreetmap.org/node/8719365553	osmplace				12.7089	50.61704				
909	https://www.openstreetmap.org/relation/9489108	osmplace				12.63533	50.60064				
910	https://www.openstreetmap.org/relation/10000991	osmplace				12.67002	50.5829				
911	https://www.openstreetmap.org/relation/9827247	osmplace				12.61881	50.64982				
912	https://www.openstreetmap.org/way/747895565	osmplace				12.56503	50.65343				
913	https://www.openstreetmap.org/way/264452636	osmplace				12.83376	50.66258				
914	https://www.openstreetmap.org/relation/5941335	osmplace				12.77583	50.70763				
915	https://www.openstreetmap.org/way/43035289	osmplace				12.63756	50.59845				
916	https://www.openstreetmap.org/way/232139832	osmplace				12.82346	50.62891				
917	https://www.openstreetmap.org/way/390184466	osmplace				12.79255	50.58324				
918	https://www.openstreetmap.org/way/702508245	osmplace				12.71523	50.61027				
919	https://www.openstreetmap.org/way/388030443	osmplace				12.63752	50.70948				
920	https://www.openstreetmap.org/node/8814944759	osmplace				12.63737	50.59773				
921	https://www.openstreetmap.org/way/212785662	osmplace				12.70078	50.72999				
922	https://www.openstreetmap.org/way/407308484	osmplace				12.73395	50.70333				
923	https://www.openstreetmap.org/way/210730178	osmplace				12.89718	50.79789				
924	https://www.openstreetmap.org/node/7057000896	osmplace				12.8007	50.81193				
925	https://www.openstreetmap.org/relation/9746023	osmplace				12.90042	50.79497				
926	https://www.openstreetmap.org/relation/10055924	osmplace				12.69772	50.79864				
927	https://www.openstreetmap.org/relation/10433369	osmplace				12.57359	50.7376				
928	https://www.openstreetmap.org/relation/10391962	osmplace				12.92603	50.7781				
929	https://www.openstreetmap.org/relation/9669746	osmplace				12.8369	50.82233				
930	https://www.openstreetmap.org/relation/10052450	osmplace				12.70127	50.79518				
931	https://www.openstreetmap.org/way/497433790	osmplace				12.70097	50.79882				
932	https://www.openstreetmap.org/way/235272479	osmplace				12.832	50.81877				
933	https://www.openstreetmap.org/way/210457734	osmplace				12.68252	50.73662				
934	https://www.openstreetmap.org/way/726612331	osmplace				12.91684	50.78956				
935	https://www.openstreetmap.org/way/607439739	osmplace				12.90085	50.7649				
936	https://www.openstreetmap.org/way/221589758	osmplace				12.95308	50.66799				
937	https://www.openstreetmap.org/way/692532900	osmplace				12.92936	50.72928				
938	https://www.openstreetmap.org/way/248927139	osmplace				12.89975	50.76769				
939	https://www.openstreetmap.org/way/210240464	osmplace				12.78668	50.81708				
940	https://www.openstreetmap.org/way/255811633	osmplace				12.78669	50.81283				
941	https://www.openstreetmap.org/way/210706274	osmplace				12.77732	50.81138				
942	https://www.openstreetmap.org/way/210706045	osmplace				12.77911	50.81205				
943	https://www.openstreetmap.org/way/210908200	osmplace				12.77623	50.80976				
944	https://www.openstreetmap.org/way/211070608	osmplace				12.75938	50.80982				
945	https://www.openstreetmap.org/way/442083133	osmplace				12.8551	50.77138				
946	https://www.openstreetmap.org/way/210704589	osmplace				12.78102	50.81288				
947	https://www.openstreetmap.org/way/313680879	osmplace				12.62971	50.75355				
948	https://www.openstreetmap.org/way/243940267	osmplace				12.9017	50.69243				
949	https://www.openstreetmap.org/way/312263452	osmplace				12.64103	50.78549				
950	https://www.openstreetmap.org/way/242311854	osmplace				12.65906	50.7861				
951	https://www.openstreetmap.org/way/211531239	osmplace				12.74417	50.8066				
952	https://www.openstreetmap.org/way/777968638	osmplace				12.71032	50.78125				
953	https://www.openstreetmap.org/way/313223538	osmplace				12.63667	50.77433				
954	https://www.openstreetmap.org/way/319913533	osmplace				12.83345	50.81815				
955	https://www.openstreetmap.org/way/255811635	osmplace				12.78632	50.81287				
956	https://www.openstreetmap.org/way/331877886	osmplace				12.88467	50.69736				
957	https://www.openstreetmap.org/way/458922556	osmplace				12.84653	50.81958				
958	https://www.openstreetmap.org/way/237031861	osmplace				12.70009	50.73209				
959	https://www.openstreetmap.org/way/209560663	osmplace				12.6829	50.78435				
960	https://www.openstreetmap.org/way/834984878	osmplace				12.57421	50.73778				
961	https://www.openstreetmap.org/way/435001175	osmplace				12.6237	50.76543				
962	https://www.openstreetmap.org/way/314365787	osmplace				12.62786	50.76299				
963	https://www.openstreetmap.org/way/402768710	osmplace				12.72679	50.78378				
964	https://www.openstreetmap.org/node/370107876	osmplace				12.74833	50.74354				
965	https://www.openstreetmap.org/way/272909575	osmplace				12.62691	50.7621				
966	https://www.openstreetmap.org/node/3812779436	osmplace				12.8978	50.80646				
967	https://www.openstreetmap.org/relation/10974385	osmplace				12.6997	50.68675				
968	https://www.openstreetmap.org/relation/12691626	osmplace				12.72147	50.61118				
969	https://www.openstreetmap.org/relation/9820814	osmplace				12.60637	50.65412				
970	https://www.openstreetmap.org/way/372225683	osmplace				12.81544	50.636				
971	https://www.openstreetmap.org/way/410553388	osmplace				12.84272	50.68611				
972	https://www.openstreetmap.org/relation/9996940	osmplace				12.7091	50.58858				
973	https://www.openstreetmap.org/relation/10338287	osmplace				12.56082	50.68498				
974	https://www.openstreetmap.org/relation/8277183	osmplace				12.68012	50.6189				
975	https://www.openstreetmap.org/way/386491893	osmplace				12.77826	50.70803				
976	https://www.openstreetmap.org/way/483493825	osmplace				12.82635	50.68575				
977	https://www.openstreetmap.org/way/945909659	osmplace				12.64022	50.59643				
978	https://www.openstreetmap.org/way/43091886	osmplace				12.64032	50.59831				
979	https://www.openstreetmap.org/way/446274881	osmplace				12.71418	50.62896				
980	https://www.openstreetmap.org/way/232139830	osmplace				12.82149	50.62952				
981	https://www.openstreetmap.org/way/308478899	osmplace				12.80942	50.65022				
982	https://www.openstreetmap.org/way/437579681	osmplace				12.76856	50.67219				
983	https://www.openstreetmap.org/relation/1571435	osmplace				12.77566	50.71203				
984	https://www.openstreetmap.org/way/673325196	osmplace				12.77662	50.70798				
985	https://www.openstreetmap.org/relation/2819328	osmplace				12.79422	50.71507				
986	https://www.openstreetmap.org/way/437736461	osmplace				12.8138	50.57894				
987	https://www.openstreetmap.org/way/43029254	osmplace				12.63752	50.5964				
988	https://www.openstreetmap.org/relation/9618498	osmplace				12.8935	50.771				
989	https://www.openstreetmap.org/way/567308235	osmplace				12.86662	50.80984				
990	https://www.openstreetmap.org/way/431081757	osmplace				12.90305	50.79732				
991	https://www.openstreetmap.org/way/255808713	osmplace				12.79843	50.81142				
992	https://www.openstreetmap.org/relation/10048685	osmplace				12.69695	50.8007				
993	https://www.openstreetmap.org/way/821450838	osmplace				12.90743	50.66822				
994	https://www.openstreetmap.org/relation/11131201	osmplace				12.65501	50.74432				
995	https://www.openstreetmap.org/relation/10323387	osmplace				12.69826	50.78141				
996	https://www.openstreetmap.org/relation/9622438	osmplace				12.71535	50.8015				
997	https://www.openstreetmap.org/relation/10254704	osmplace				12.78772	50.72455				
998	https://www.openstreetmap.org/node/2212492988	osmplace				12.74976	50.80683				
999	https://www.openstreetmap.org/way/297388840	osmplace				12.89934	50.78211				
1000	https://www.openstreetmap.org/way/587124313	osmplace				12.92991	50.74021				
1001	https://www.openstreetmap.org/way/271123617	osmplace				12.94373	50.67002				
1002	https://www.openstreetmap.org/way/232139825	osmplace				12.91104	50.64376				
1003	https://www.openstreetmap.org/way/860116019	osmplace				12.8444	50.80738				
1004	https://www.openstreetmap.org/way/682595434	osmplace				12.83312	50.82373				
1005	https://www.openstreetmap.org/way/255811637	osmplace				12.78647	50.81285				
1006	https://www.openstreetmap.org/way/210722303	osmplace				12.77662	50.81142				
1007	https://www.openstreetmap.org/way/210722294	osmplace				12.77676	50.81119				
1008	https://www.openstreetmap.org/way/756026524	osmplace				12.8795	50.78836				
1009	https://www.openstreetmap.org/way/309776991	osmplace				12.60832	50.79012				
1010	https://www.openstreetmap.org/way/313405154	osmplace				12.63567	50.75512				
1011	https://www.openstreetmap.org/way/309776994	osmplace				12.6188	50.78919				
1012	https://www.openstreetmap.org/relation/2815876	osmplace				12.84298	50.71268				
1013	https://www.openstreetmap.org/way/309777028	osmplace				12.60403	50.79086				
1014	https://www.openstreetmap.org/way/352774542	osmplace				12.62774	50.75679				
1015	https://www.openstreetmap.org/way/907511532	osmplace				12.74939	50.73963				
1016	https://www.openstreetmap.org/way/210974230	osmplace				12.79362	50.81166				
1017	https://www.openstreetmap.org/way/366316134	osmplace				12.62498	50.78436				
1018	https://www.openstreetmap.org/way/352786759	osmplace				12.62244	50.75573				
1019	https://www.openstreetmap.org/way/222702530	osmplace				12.74853	50.7376				
1020	https://www.openstreetmap.org/way/211531238	osmplace				12.74377	50.80654				
