index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
928	located_on_h3_cell	https://www.openstreetmap.org/relation/11975126	osmplace	891f02a3407ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
929	located_on_h3_cell	https://www.openstreetmap.org/node/8587177095	osmplace	891f02bac23ffff	h3place	False		6.0	Services_POS_amenity around (Wismar) radius=15.0
930	located_on_h3_cell	891f02b0a97ffff	h3place	https://www.openstreetmap.org/way/512665296	osmplace	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
931	located_on_h3_cell	891f02ba6a7ffff	h3place	https://www.openstreetmap.org/way/877647063	osmplace	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
932	located_on_h3_cell	https://www.openstreetmap.org/way/882036702	osmplace	891f02bac27ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
933	located_on_h3_cell	https://www.openstreetmap.org/way/235531792	osmplace	891f02b9dabffff	h3place	False		6.0	Leisure_POS_amenity around (Wismar) radius=15.0
934	hasOSMTag	pitch	osmtag	891f02b1977ffff	h3place	False	3.0		Leisure_POS_amenity around (Wismar) radius=15.0
935	located_on_h3_cell	https://www.openstreetmap.org/relation/11979320	osmplace	891f02b9d97ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
936	hasOSMTag	platform	osmtag	891f02bac23ffff	h3place	False	1.0		Transport_POS_amenity around (Wismar) radius=15.0
937	located_on_h3_cell	https://www.openstreetmap.org/relation/11976323	osmplace	891f02a3107ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
938	located_on_h3_cell	https://www.openstreetmap.org/relation/11980993	osmplace	891f02b2463ffff	h3place	False		6.0	Transport_POS_amenity around (Wismar) radius=15.0
