index	e_type	Source	from_type	Target	to_type	directed	attributes.tagCount	attributes.res	attributes.layer_id
3998	located_on_h3_cell	891e3499043ffff	h3place	https://www.openstreetmap.org/relation/10094427	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
3999	located_on_h3_cell	891e34d609bffff	h3place	https://www.openstreetmap.org/relation/9489111	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4000	hasOSMTag	fishing	osmtag	891e34c645bffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4001	hasOSMTag	swimming	osmtag	891e34d460fffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4002	located_on_h3_cell	https://www.openstreetmap.org/node/2338302994	osmplace	891e34d62d3ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4003	located_on_h3_cell	891e34d0c1bffff	h3place	https://www.openstreetmap.org/way/593485688	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4004	hasOSMTag	891e34d08d7ffff	h3place	swimming_pool	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4005	hasOSMTag	891f1a6587bffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
4006	located_on_h3_cell	891e34d594fffff	h3place	https://www.openstreetmap.org/way/267227956	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4007	hasOSMTag	stop_area	osmtag	891e34d4d53ffff	h3place	False	2.0		Transport_POS_amenity around (Aue) radius=15.0
4008	located_on_h3_cell	891f1a6db7bffff	h3place	https://www.openstreetmap.org/way/254340069	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4009	located_on_h3_cell	https://www.openstreetmap.org/way/217166700	osmplace	891e34d50abffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4010	located_on_h3_cell	891e34d602fffff	h3place	https://www.openstreetmap.org/way/338849287	osmplace	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
4011	located_on_h3_cell	https://www.openstreetmap.org/node/277677523	osmplace	891e34d65afffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4012	located_on_h3_cell	891f1a6d977ffff	h3place	https://www.openstreetmap.org/way/798316501	osmplace	False		6.0	Lifestyle_POS_amenity around (Aue) radius=15.0
4013	hasOSMTag	891e34991cbffff	h3place	table_tennis	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4014	hasOSMTag	891e34d4a33ffff	h3place	equestrian	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4015	located_on_h3_cell	891e349810fffff	h3place	https://www.openstreetmap.org/way/290068189	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4016	hasOSMTag	stop_area	osmtag	891e348b2cfffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
4017	located_on_h3_cell	https://www.openstreetmap.org/node/8744038147	osmplace	891e34d0cabffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4018	hasOSMTag	stop_area	osmtag	891e3499ccbffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
4019	hasOSMTag	891e349914fffff	h3place	nature_reserve	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4020	located_on_h3_cell	891e3499137ffff	h3place	https://www.openstreetmap.org/relation/9575732	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4021	hasOSMTag	stop_area	osmtag	891e34d0c9bffff	h3place	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
4022	located_on_h3_cell	https://www.openstreetmap.org/relation/11048504	osmplace	891e34d2883ffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4023	hasOSMTag	891e34d60b7ffff	h3place	soccer	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4024	located_on_h3_cell	891e34d0c1bffff	h3place	https://www.openstreetmap.org/way/593485687	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4025	located_on_h3_cell	891e34d6b83ffff	h3place	https://www.openstreetmap.org/way/218868615	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4026	hasOSMTag	soccer	osmtag	891e34d69dbffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4027	hasOSMTag	891e349962fffff	h3place	stop_area	osmtag	False	1.0		Transport_POS_amenity around (Aue) radius=15.0
4028	located_on_h3_cell	https://www.openstreetmap.org/way/410553388	osmplace	891e349853bffff	h3place	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4029	hasOSMTag	swimming	osmtag	891e349b4bbffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4030	located_on_h3_cell	891e3498163ffff	h3place	https://www.openstreetmap.org/way/264452637	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4031	located_on_h3_cell	https://www.openstreetmap.org/node/1416503142	osmplace	891f1a6d967ffff	h3place	False		6.0	Environment_POS_amenity around (Aue) radius=15.0
4032	located_on_h3_cell	https://www.openstreetmap.org/way/239279878	osmplace	891e34d460fffff	h3place	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4033	located_on_h3_cell	891e34d61dbffff	h3place	https://www.openstreetmap.org/way/394731914	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4034	located_on_h3_cell	891e34d6a27ffff	h3place	https://www.openstreetmap.org/way/241183659	osmplace	False		6.0	Leisure_POS_amenity around (Aue) radius=15.0
4035	located_on_h3_cell	891e34d0cabffff	h3place	https://www.openstreetmap.org/node/6726560472	osmplace	False		6.0	Transport_POS_amenity around (Aue) radius=15.0
4036	hasOSMTag	swimming_pool	osmtag	891e34985a7ffff	h3place	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
4037	hasOSMTag	891e34d4c47ffff	h3place	basketball	osmtag	False	1.0		Leisure_POS_amenity around (Aue) radius=15.0
