index	e_type	Source	from_type	Target	to_type	directed	attributes.res	attributes.layer_id	attributes.tagCount
273	located_on_h3_cell	891f03863b3ffff	h3place	https://www.openstreetmap.org/node/3091354689	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
274	hasOSMTag	nature_reserve	osmtag	891f014b023ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
275	located_on_h3_cell	https://www.openstreetmap.org/way/456966603	osmplace	891f0386163ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
276	located_on_h3_cell	891f03b0c8bffff	h3place	https://www.openstreetmap.org/relation/571935	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
277	hasOSMTag	pitch	osmtag	891f038683bffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	11.0
278	hasOSMTag	garden	osmtag	891f03868c3ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
279	hasOSMTag	891f03b2a7bffff	h3place	golf	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
280	located_on_h3_cell	891f03b001bffff	h3place	https://www.openstreetmap.org/way/457746171	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
281	located_on_h3_cell	https://www.openstreetmap.org/relation/11931254	osmplace	891f03876b3ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
282	hasOSMTag	running	osmtag	891f0148177ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
283	hasOSMTag	pitch	osmtag	891f03868bbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	3.0
284	located_on_h3_cell	https://www.openstreetmap.org/way/242401292	osmplace	891f0386807ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
285	hasOSMTag	pitch	osmtag	891f03b1c77ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
286	hasOSMTag	playground	osmtag	891f0386a17ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
287	located_on_h3_cell	https://www.openstreetmap.org/node/8119171440	osmplace	891f0387607ffff	h3place	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
288	hasOSMTag	891f038707bffff	h3place	park	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
289	hasOSMTag	891f038633bffff	h3place	restaurant	osmtag	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
290	located_on_h3_cell	https://www.openstreetmap.org/way/694094035	osmplace	891f038680bffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
291	located_on_h3_cell	891f0386377ffff	h3place	https://www.openstreetmap.org/node/2021945521	osmplace	False	6.0	Transport_POS_amenity around (Stralsund) radius=15.0	
292	hasOSMTag	891f03b0c8bffff	h3place	stop_area	osmtag	False		Transport_POS_amenity around (Stralsund) radius=15.0	1.0
293	hasOSMTag	soccer	osmtag	891f0148cdbffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
294	located_on_h3_cell	https://www.openstreetmap.org/way/484692623	osmplace	891f0386a63ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
295	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242406832	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
296	hasOSMTag	891f0386857ffff	h3place	pitch	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
297	located_on_h3_cell	https://www.openstreetmap.org/way/483069599	osmplace	891f0384857ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
298	hasOSMTag	soccer	osmtag	891f03b36abffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
299	hasOSMTag	garden	osmtag	891f0386823ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
300	located_on_h3_cell	891f03b268bffff	h3place	https://www.openstreetmap.org/way/477175775	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
301	hasOSMTag	place_of_worship	osmtag	891f0384977ffff	h3place	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
302	hasOSMTag	kindergarten	osmtag	891f0386397ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
303	hasOSMTag	gardener	osmtag	891f03b0607ffff	h3place	False		Lifestyle_POS_amenity around (Stralsund) radius=15.0	1.0
304	hasOSMTag	891f0386337ffff	h3place	multi	osmtag	False		Leisure_POS_amenity around (Stralsund) radius=15.0	1.0
305	hasOSMTag	childcare	osmtag	891f03b0657ffff	h3place	False		Services_POS_amenity around (Stralsund) radius=15.0	1.0
306	located_on_h3_cell	https://www.openstreetmap.org/node/3091354689	osmplace	891f03863b3ffff	h3place	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
307	located_on_h3_cell	891f03b0657ffff	h3place	https://www.openstreetmap.org/way/365097263	osmplace	False	6.0	Services_POS_amenity around (Stralsund) radius=15.0	
308	located_on_h3_cell	891f038682bffff	h3place	https://www.openstreetmap.org/way/242147365	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
309	located_on_h3_cell	891f038683bffff	h3place	https://www.openstreetmap.org/way/242403959	osmplace	False	6.0	Leisure_POS_amenity around (Stralsund) radius=15.0	
